% The simulated data from the IoT environment
@RELATION CoojaData

@ATTRIBUTE src_bytes REAL
@ATTRIBUTE dst_bytes REAL
@ATTRIBUTE protocol_type {tcp, udp, icmpv6}
@ATTRIBUTE dio_count REAL
@ATTRIBUTE dao_count REAL
@ATTRIBUTE dis_count REAL
@ATTRIBUTE usrc_bytes REAL
@ATTRIBUTE udst_bytes REAL
@ATTRIBUTE class {normal, anomaly}

@DATA
100,0,icmpv6,0,2,0,0,0,normal
150,0,icmpv6,0,3,0,0,0,normal
150,0,icmpv6,0,3,0,0,0,normal
1400,0,icmpv6,0,28,0,0,0,normal
2200,0,icmpv6,0,44,0,0,0,normal
1700,0,icmpv6,0,34,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
150,0,icmpv6,0,3,0,0,0,normal
1500,0,icmpv6,0,30,0,0,0,normal
700,0,icmpv6,0,14,0,0,0,normal
700,0,icmpv6,0,14,0,0,0,normal
2550,0,icmpv6,0,51,0,0,0,normal
600,0,icmpv6,0,12,0,0,0,normal
600,0,icmpv6,0,12,0,0,0,normal
1850,0,icmpv6,0,37,0,0,0,normal
1850,0,icmpv6,0,37,0,0,0,normal
1200,0,icmpv6,0,24,0,0,0,normal
1400,0,icmpv6,0,28,0,0,0,normal
1400,0,icmpv6,0,28,0,0,0,normal
550,0,icmpv6,0,11,0,0,0,normal
2150,0,icmpv6,0,43,0,0,0,normal
2150,0,icmpv6,0,43,0,0,0,normal
2100,0,icmpv6,0,42,0,0,0,normal
0,2350,icmpv6,0,47,0,0,0,normal
0,2350,icmpv6,0,47,0,0,0,normal
1050,0,icmpv6,0,21,0,0,0,normal
1050,0,icmpv6,0,21,0,0,0,normal
800,0,icmpv6,0,16,0,0,0,normal
3650,0,icmpv6,0,73,0,0,0,normal
3650,0,icmpv6,0,73,0,0,0,normal
1750,0,icmpv6,0,35,0,0,0,normal
1750,0,icmpv6,0,35,0,0,0,normal
2800,0,icmpv6,0,56,0,0,0,normal
2800,0,icmpv6,0,56,0,0,0,normal
2150,0,icmpv6,0,43,0,0,0,normal
2150,0,icmpv6,0,43,0,0,0,normal
1900,0,icmpv6,0,38,0,0,0,normal
1900,0,icmpv6,0,38,0,0,0,normal
1050,0,icmpv6,0,21,0,0,0,normal
1050,0,icmpv6,0,21,0,0,0,normal
0,750,icmpv6,0,15,0,0,0,normal
0,750,icmpv6,0,15,0,0,0,normal
2800,0,icmpv6,0,56,0,0,0,normal
0,200,icmpv6,0,4,0,0,0,normal
0,200,icmpv6,0,4,0,0,0,normal
0,200,icmpv6,0,4,0,0,0,normal
1800,0,icmpv6,0,36,0,0,0,normal
1300,0,icmpv6,0,26,0,0,0,normal
1300,0,icmpv6,0,26,0,0,0,normal
2200,0,icmpv6,0,44,0,0,0,normal
0,500,icmpv6,0,10,0,0,0,normal
500,0,icmpv6,0,10,0,0,0,normal
1600,0,icmpv6,0,32,0,0,0,normal
1250,0,icmpv6,0,25,0,0,0,normal
1250,0,icmpv6,0,25,0,0,0,normal
1250,0,icmpv6,0,25,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
0,600,icmpv6,0,12,0,0,0,normal
400,0,icmpv6,0,8,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
0,2350,icmpv6,0,47,0,0,0,normal
0,2100,icmpv6,0,42,0,0,0,normal
0,2100,icmpv6,0,42,0,0,0,normal
0,2100,icmpv6,0,42,0,0,0,normal
0,1800,icmpv6,0,36,0,0,0,normal
0,1600,icmpv6,0,32,0,0,0,normal
0,1600,icmpv6,0,32,0,0,0,normal
0,1600,icmpv6,0,32,0,0,0,normal
650,0,icmpv6,0,13,0,0,0,normal
650,0,icmpv6,0,13,0,0,0,normal
1700,0,icmpv6,0,34,0,0,0,normal
1100,0,icmpv6,0,22,0,0,0,normal
750,0,icmpv6,0,15,0,0,0,normal
550,0,icmpv6,0,11,0,0,0,normal
700,0,icmpv6,0,14,0,0,0,normal
650,0,icmpv6,0,13,0,0,0,normal
300,0,icmpv6,0,6,0,0,0,normal
300,0,icmpv6,0,6,0,0,0,normal
250,0,icmpv6,0,5,0,0,0,normal
250,0,icmpv6,0,5,0,0,0,normal
2000,0,icmpv6,0,40,0,0,0,normal
1850,0,icmpv6,0,37,0,0,0,normal
600,0,icmpv6,0,12,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
350,0,icmpv6,0,7,0,0,0,normal
350,0,icmpv6,0,7,0,0,0,normal
350,0,icmpv6,0,7,0,0,0,normal
2250,0,icmpv6,0,45,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
0,1200,icmpv6,0,24,0,0,0,normal
0,1000,icmpv6,0,20,0,0,0,normal
0,1000,icmpv6,0,20,0,0,0,normal
0,1000,icmpv6,0,20,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
350,0,icmpv6,0,7,0,0,0,normal
2050,0,icmpv6,0,41,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
450,0,icmpv6,0,9,0,0,0,normal
450,0,icmpv6,0,9,0,0,0,normal
400,0,icmpv6,0,8,0,0,0,normal
250,0,icmpv6,0,5,0,0,0,normal
550,0,icmpv6,0,11,0,0,0,normal
550,0,icmpv6,0,11,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
100,0,icmpv6,0,2,0,0,0,normal
0,400,icmpv6,0,8,0,0,0,normal
1400,0,icmpv6,0,28,0,0,0,normal
1900,0,icmpv6,0,38,0,0,0,normal
400,0,icmpv6,0,8,0,0,0,normal
700,0,icmpv6,0,14,0,0,0,normal
0,400,icmpv6,0,8,0,0,0,normal
0,400,icmpv6,0,8,0,0,0,normal
1200,0,icmpv6,0,24,0,0,0,normal
400,0,icmpv6,0,8,0,0,0,normal
400,0,icmpv6,0,8,0,0,0,normal
600,0,icmpv6,0,12,0,0,0,normal
600,0,icmpv6,0,12,0,0,0,normal
650,0,icmpv6,0,13,0,0,0,normal
650,0,icmpv6,0,13,0,0,0,normal
650,0,icmpv6,0,13,0,0,0,normal
250,0,icmpv6,0,5,0,0,0,normal
250,0,icmpv6,0,5,0,0,0,normal
0,400,icmpv6,0,8,0,0,0,normal
0,400,icmpv6,0,8,0,0,0,normal
1550,0,icmpv6,0,31,0,0,0,normal
1600,0,icmpv6,0,32,0,0,0,normal
1600,0,icmpv6,0,32,0,0,0,normal
0,400,icmpv6,0,8,0,0,0,normal
0,400,icmpv6,0,8,0,0,0,normal
0,400,icmpv6,0,8,0,0,0,normal
400,0,icmpv6,0,8,0,0,0,normal
400,0,icmpv6,0,8,0,0,0,normal
